Generation	35	;Maximum:p340=	{5.75, 8.54, 15.95, 7756.26, 279071.33, 77.05, 42.46, 412.96, 1103855.78, 0.00}	fitness=1680.36
Generation	36	;Maximum:p350=	{6.00, 7.81, 12.39, 10341.79, 352659.85, 80.13, 31.48, 412.96, 1250434.68, 0.00}	fitness=1777.80
Generation	37	;Maximum:p362=	{6.00, 7.81, 12.39, 7768.24, 262050.51, 95.98, 37.69, 412.96, 1250434.68, 0.00}	fitness=1433.87
Generation	38	;Maximum:p370=	{7.08, 8.23, 19.77, 10041.60, 281854.22, 66.23, 48.17, 321.10, 1250434.68, 0.01}	fitness=1538.10
Generation	39	;Maximum:p382=	{7.08, 6.10, 23.37, 9800.61, 281854.22, 66.23, 48.17, 321.10, 1250434.68, 0.01}	fitness=1459.86
Generation	40	;Maximum:p390=	{4.69, 5.39, 19.65, 9814.01, 281854.22, 67.75, 62.93, 321.10, 1250434.68, 0.00}	fitness=1695.18
Generation	41	;Maximum:p400=	{6.63, 8.51, 19.70, 15775.04, 230301.34, 67.76, 46.99, 279.85, 1112050.39, 0.01}	fitness=1689.07
Generation	42	;Maximum:p412=	{7.46, 8.82, 20.04, 17013.82, 245634.15, 74.76, 48.17, 327.73, 1112050.39, 0.01}	fitness=1178.34
Generation	43	;Maximum:p420=	{6.82, 5.07, 14.52, 16495.21, 328168.90, 102.30, 48.17, 294.04, 1112050.39, 0.00}	fitness=1286.73
Generation	44	;Maximum:p430=	{5.72, 5.25, 25.66, 12530.10, 179633.42, 71.86, 37.81, 341.45, 1031497.33, 0.01}	fitness=1471.38
Generation	45	;Maximum:p440=	{5.59, 5.29, 16.69, 12530.10, 243345.75, 71.06, 34.43, 312.19, 1286527.73, 0.01}	fitness=1501.52
Generation	46	;Maximum:p450=	{5.75, 4.28, 19.42, 12530.10, 243345.75, 71.06, 56.58, 302.17, 1286527.73, 0.01}	fitness=1639.83
Generation	47	;Maximum:p460=	{3.31, 4.92, 23.06, 10195.70, 315152.15, 64.59, 59.96, 284.11, 1345027.68, 0.00}	fitness=1656.76
Generation	48	;Maximum:p470=	{4.24, 5.07, 23.06, 10195.70, 224304.72, 65.45, 59.96, 284.11, 1513414.44, 0.01}	fitness=1741.46
Generation	49	;Maximum:p480=	{4.09, 7.60, 23.06, 6802.54, 251539.07, 58.89, 64.58, 291.47, 1051176.87, 0.01}	fitness=1638.04
Generation	50	;Maximum:p490=	{4.42, 6.59, 26.34, 6946.53, 216309.37, 70.54, 53.66, 315.38, 1093654.46, 0.01}	fitness=1667.34
Generation	51	;Maximum:p500=	{3.09, 7.04, 25.73, 5376.20, 229144.11, 70.54, 72.94, 257.23, 1587254.16, 0.01}	fitness=1609.98
Generation	52	;Maximum:p510=	{2.94, 7.96, 23.72, 6126.72, 253353.94, 80.41, 59.87, 291.47, 1587254.16, 0.00}	fitness=1638.18
Generation	53	;Maximum:p520=	{2.94, 7.96, 27.37, 5503.48, 253353.94, 62.45, 54.80, 291.47, 961719.00, 0.01}	fitness=1525.99
Generation	54	;Maximum:p530=	{4.91, 6.70, 32.20, 7884.33, 201616.52, 62.98, 62.97, 269.89, 978508.35, 0.00}	fitness=1595.96
Generation	55	;Maximum:p540=	{2.84, 8.07, 38.46, 5005.74, 248288.10, 62.45, 57.95, 308.64, 1016742.13, 0.01}	fitness=1380.26
Generation	56	;Maximum:p550=	{2.17, 6.45, 33.92, 5012.02, 193671.60, 50.89, 62.97, 276.34, 1000229.72, 0.00}	fitness=1409.39
Generation	57	;Maximum:p560=	{2.91, 5.95, 30.78, 4740.66, 280036.23, 53.86, 53.21, 339.48, 978508.35, 0.01}	fitness=1593.37
Generation	58	;Maximum:p570=	{3.36, 6.57, 33.71, 4065.58, 191972.41, 62.92, 69.66, 308.64, 961719.00, 0.00}	fitness=1547.22
Generation	59	;Maximum:p580=	{3.39, 5.52, 32.35, 5358.73, 194477.55, 50.18, 43.34, 308.64, 961719.00, 0.01}	fitness=1572.54
Generation	60	;Maximum:p590=	{3.40, 7.43, 35.36, 4272.97, 222282.11, 54.95, 70.31, 413.82, 998206.09, 0.01}	fitness=1671.44
Generation	61	;Maximum:p600=	{3.52, 7.11, 28.73, 4577.80, 186887.13, 50.18, 69.16, 390.46, 796153.53, 0.00}	fitness=1628.95
Generation	62	;Maximum:p610=	{3.28, 5.57, 33.31, 4513.78, 168038.25, 55.21, 92.78, 411.54, 816592.41, 0.00}	fitness=1712.92
Generation	63	;Maximum:p620=	{3.18, 5.59, 33.31, 7600.87, 172564.90, 44.49, 92.78, 411.54, 907063.01, 0.01}	fitness=1756.67
Generation	64	;Maximum:p630=	{3.60, 7.10, 27.84, 4333.49, 172564.90, 56.67, 98.25, 351.91, 799696.36, 0.00}	fitness=1710.11
Generation	65	;Maximum:p640=	{3.82, 5.66, 24.78, 4404.27, 135977.50, 56.67, 69.64, 407.09, 799696.36, 0.00}	fitness=1842.55
Generation	66	;Maximum:p650=	{3.17, 4.43, 32.37, 3618.08, 176103.83, 67.13, 60.92, 502.85, 592756.93, 0.01}	fitness=1761.97
Generation	67	;Maximum:p660=	{3.17, 3.78, 25.89, 4404.27, 176103.83, 67.13, 53.08, 502.85, 799696.36, 0.01}	fitness=1735.14
Generation	68	;Maximum:p670=	{2.39, 6.62, 35.04, 5058.25, 195390.99, 68.27, 60.92, 502.85, 799696.36, 0.00}	fitness=1499.15
Generation	69	;Maximum:p680=	{3.17, 3.63, 22.79, 4739.71, 143465.46, 67.18, 52.70, 506.20, 946173.95, 0.01}	fitness=1816.64
Generation	70	;Maximum:p690=	{3.64, 3.50, 26.42, 3496.74, 177769.86, 57.85, 103.73, 662.35, 799696.36, 0.00}	fitness=1859.44
Generation	71	;Maximum:p700=	{3.17, 4.58, 23.19, 4113.43, 187224.74, 67.18, 50.50, 561.39, 697010.74, 0.00}	fitness=1755.05
Generation	72	;Maximum:p710=	{3.84, 3.86, 28.16, 4573.40, 106238.31, 63.78, 75.30, 601.34, 773418.85, 0.01}	fitness=1767.68
Generation	73	;Maximum:p720=	{3.16, 3.44, 30.24, 3774.70, 176778.15, 74.02, 35.52, 771.44, 773418.85, 0.01}	fitness=1750.80
Generation	74	;Maximum:p730=	{3.29, 3.44, 22.58, 3774.70, 176778.15, 74.56, 35.25, 617.31, 799696.36, 0.00}	fitness=1708.46
